Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine,Age
CITROEN,C5 AIRCROSS,4x2,USD,19000.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_3459791.webp,2020,25257,Gasolina,automatica,Lima,Otro,,tela,1600.0,4
SUZUKI,BALENO,4x2,USD,13500.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_1220476.webp,2022,21598,Gasolina,automatica,Lima,Azul,,cuero,1400.0,2
TOYOTA,COROLLA,4x2,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5772964.webp,2018,43029,Gasolina,automatica_secuencial,Lima,Plata,4.0,tela,1800.0,6
TOYOTA,COROLLA CROSS,4x2,USD,23000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_2770961.webp,2023,15063,Gasolina,automatica_secuencial,Lima,Plata,4.0,tela,2000.0,1
TOYOTA,RAIZE,4x2,USD,16400.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3510542.webp,2023,10780,Gasolina,automatica_secuencial,Lima,Plata,3.0,tela,1200.0,1
TOYOTA,RUSH,4x2,USD,20500.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_8178531.webp,2022,40437,Gasolina,mecanica,Lima,Blanco,4.0,tela,1500.0,2
TOYOTA,RUSH,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5576929.webp,2021,51000,Gasolina,automatica,Lima,Otro,,tela,1500.0,3
TOYOTA,RUSH,4x2,USD,17800.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_6421880.webp,2022,62440,Gasolina,automatica,Lima,Plata,4.0,tela,1500.0,2
HYUNDAI,CRETA,otros,USD,18100.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7883548.webp,2023,38383,Gas GLP,mecanica,Lima,Blanco,,tela,,1
KIA,SELTOS,otros,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7548817.webp,2023,7720,Gasolina,automatica,Lima,Otro,,tela,,1
GEELY,GX3,otros,USD,11800.0,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_4061765.webp,2023,18000,Gas GLP,automatica,Lima,Rojo,,tela,,1
AUDI,A3 SPORTBACK,delantera,USD,28900.0,https://cde.neoauto.pe/autos_usados/360x240/742951/742951_7885414.webp,2022,13700,Gasolina,automatica,Lima,Rojo,4.0,tela,1400.0,2
TOYOTA,PRIUS,4x2,USD,15800.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3565959.webp,2018,86649,Gasolina-HÃ­brido,automatica_secuencial,Lima,Gris,4.0,tela,1800.0,6
NISSAN,SENTRA,4x2,USD,17000.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5738600.webp,2023,25607,Gasolina,mecanica,Lima,Gris,4.0,tela,2000.0,1
TOYOTA,FORTUNER,4x4,USD,42000.0,https://cde.neoauto.pe/autos_usados/360x240/742917/742917_2751331.webp,2019,62000,Diesel,mecanica,La Libertad,Blanco,4.0,cuero,2755.0,5
MAZDA,2,4x2,USD,18200.0,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_1887505.webp,2024,633,Gasolina,mecanica,Lima,Marrón,4.0,tela,1500.0,0
FORD,RANGER,4x4,USD,21300.0,https://cde.neoauto.pe/autos_usados/360x240/242077/242077_3158638.webp,2021,131791,Diesel,mecanica,Lima,Otro,,tela,2200.0,3
MINI,HATCH 3DR,otros,USD,33991.0,https://cde.neoauto.pe/autos_usados/360x240/208604/208604_4087470.webp,2024,1786,ElÃ©ctrico,automatica,Lima,Negro,,tela,,0
JEEP,GRAND CHEROKEE LIMITED,4x4,USD,13000.0,https://cde.neoauto.pe/autos_usados/360x240/715295/715295_1114951.webp,2006,140000,Gasolina,automatica_secuencial,Lima,Azul,8.0,tela,5700.0,18
LEXUS,IS 300,posterior,USD,22700.0,https://cde.neoauto.pe/autos_usados/360x240/648078/648078_5953511.webp,2018,31000,Gasolina,automatica_secuencial,Lima,Plata,4.0,cuero,2000.0,6
FORD,MUSTANG,posterior,USD,19500.0,https://cde.neoauto.pe/autos_usados/360x240/742866/742866_3439844.webp,1965,54000,Gasolina,automatica,Lima,Otro,8.0,tela,4700.0,59
HYUNDAI,SANTA FE,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/742915/742915_7655377.webp,2014,97000,Gasolina,automatica_secuencial,Lima,Blanco,,tela,2400.0,10
VOLKSWAGEN,NIVUS,4x2,USD,17200.0,https://cde.neoauto.pe/autos_usados/360x240/662916/662916_5594562.webp,2021,53000,Gasolina,automatica_secuencial,Lima,Gris,3.0,tela,1000.0,3
MERCEDES BENZ,GLE 400 4MATIC,otros,USD,38000.0,https://cde.neoauto.pe/autos_usados/360x240/332517/332517_6487100.webp,2018,49000,Gasolina,automatica_secuencial,Lima,Plata,6.0,cuero,3000.0,6
MERCEDES BENZ,C-350,posterior,USD,13800.0,https://cde.neoauto.pe/autos_usados/360x240/723718/723718_1499902.webp,2012,119100,Gasolina,automatica_secuencial,Lima,Plata,6.0,tela,3500.0,12
SUBARU,FORESTER,otros,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/191263/191263_5010088.webp,2011,86500,Gasolina,mecanica,Lima,Blanco,,tela,2000.0,13
TOYOTA,HILUX,4x4,USD,33000.0,https://cde.neoauto.pe/autos_usados/360x240/406692/406692_9432200.webp,2017,90000,Diesel,mecanica,Lima,Rojo,4.0,tela,2800.0,7
KIA,RIO,otros,USD,10200.0,https://cde.neoauto.pe/autos_usados/360x240/706675/706675_2490868.webp,2017,96000,Gas GLP,mecanica,La Libertad,Gris,4.0,tela,1400.0,7
TOYOTA,4RUNNER,4x4,USD,51000.0,https://cde.neoauto.pe/autos_usados/360x240/742886/742886_4092682.webp,2021,45000,Gasolina,automatica_secuencial,Lima,Gris,3.0,tela,4000.0,3
DODGE,JOURNEY,delantera,USD,12900.0,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_9178621.webp,2014,105000,Gas GLP,automatica,Lima,Azul,4.0,tela,2400.0,10
AUDI,A4,delantera,USD,12900.0,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_5404632.webp,2013,112000,Gasolina,automatica,Lima,Gris,4.0,tela,1800.0,11
KIA,SORENTO,4x2,USD,16000.0,https://cde.neoauto.pe/autos_usados/360x240/676108/676108_6870302.webp,2016,68000,Gasolina,automatica,Lima,Otro,4.0,tela,,8
VOLKSWAGEN,SAVEIRO,delantera,USD,11900.0,https://cde.neoauto.pe/autos_usados/360x240/232493/232493_6767577.webp,2022,26000,Gasolina,mecanica,Lima,Plata,4.0,tela,1598.0,2
KIA,SPORTAGE,4x2,USD,17900.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7677544.webp,2017,85584,Gasolina,automatica_secuencial,Lima,Gris,4.0,tela,2000.0,7
KIA,SONET,4x2,USD,15990.0,https://cde.neoauto.pe/autos_usados/360x240/741676/741676_1698621.webp,2021,20000,Gasolina,mecanica,Lima,Blanco,4.0,tela,1497.0,3
JETOUR,X70 PLUS,4x2,USD,19900.0,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7729361.webp,2023,9017,Gasolina,mecanica,Lima,Negro,4.0,tela,1500.0,1
