Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinders,Upholstery,Engine,Age
HONDA,HR-V,otros,USD,17700.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/hr-v/pe/RT_PU_91d63cb389424bf897d9be7e9417baa4.webp,2019,62000.0,gasolina,automatica,Lima,plata,4.0,tela,1799.0,5
SUZUKI,GRAND NOMADE,4x4,USD,9000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/grand-nomade/pe/RT_PU_dcdf65dfa2fb448586da937eb4d3762b.webp,2010,177233.0,gasolina,mecanica,Lima,gris,4.0,tela,1995.0,14
FORD,FUSION,otros,USD,17000.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/ford/fusion/pe/RT_PU_ee123aecd22247e695b160c2753982ef.webp,2018,38000.0,gasolina,automatica,Lima,rojo,4.0,cuero,1998.0,6
VOLKSWAGEN,GOL,otros,USD,7900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_d7acbe7887bb40c38ae64de6da18726a.webp,2017,94200.0,gasolina,mecanica,Provincias,azul,4.0,tela,1598.0,7
TOYOTA,RUSH,otros,USD,18100.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/rush/pe/RT_PU_891c5fffd8e54e12ae32f097b6e33231.webp,2022,27000.0,gasolina,mecanica,Lima,plata,4.0,tela,1496.0,2
CHANGAN,CS35 PLUS,premium,USD,15800.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/changan/cs35-plus/pe/RT_PU_ef14ef22f6f54e73ab58bf08eaa936b9.webp,2022,18700.0,gasolina,automatica,Lima,rojo,4.0,cuero,1392.0,2
SUZUKI,GRAND VITARA,otros,USD,9300.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/suzuki/grand-vitara/pe/RT_PU_4cdce0e43f16444abf58fb8e9f21e4be.webp,2011,78000.0,gasolina,mecanica,Lima,azul,4.0,tela,1586.0,13
DFSK,500,otros,PEN,11900.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/dfsk/500/pe/RT_PU_ce3234638844445cad899a8162767114.webp,2023,11900.0,gasolina,mecanica,Lima,azul,4.0,cuero,1498.0,1
HONDA,CIVIC,otros,USD,2500.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/honda/civic/pe/RT_PU_ad087c1ea8df4357a1c33a3fc3084c4d.webp,1987,23000.0,gasolina,automatica,Lima,gris,4.0,tela,1498.0,37
TOYOTA,COROLLA,otros,USD,5200.0,https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/toyota/corolla/pe/RT_PU_e5f09dda6ba84cd59ad164039d1a2d33.webp,2016,20000.0,gasolina,mecanica,Provincias,blanco,4.0,tela,1798.0,8
