Brands,Models,Version,Currency,Price,Urlpic,Year,KM,Fuel_type,Transmission,Location,Color,Cilinder,Upholstery,Engine,Age
BMW,X4 20i,4x4,USD,34490.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_5745504.webp,2018.0,67400.0,gasolina,automatica,Lima,plata,4.0,tela,1997.0,6.0
VOLVO,XC-40,4x4,USD,,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1406167.webp,2023.0,49770.0,otros,automatica,Lima,azul,4.0,tela,1969.0,1.0
TOYOTA,RAV4,4x2,USD,24500.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_7878299.webp,2022.0,48390.0,gasolina,automatica,Lima,blanco,,tela,2000.0,2.0
VOLKSWAGEN,PASSAT,4x2,USD,5990.0,https://cde.neoauto.pe/autos_usados/360x240/677522/677522_6869067.webp,2006.0,160000.0,gasolina,automatica_secuencial,Provincias,azul,4.0,cuero,2000.0,18.0
MERCEDES BENZ,A-180,4x2,USD,17990.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_8591489.webp,2018.0,41800.0,gasolina,mecanica,Lima,rojo,4.0,cuero,1595.0,6.0
BMW,750LI,posterior,USD,29500.0,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_1060813.webp,2012.0,38000.0,gasolina,automatica_secuencial,Lima,Otro,8.0,tela,4400.0,12.0
MERCEDES BENZ,GLA 200,otros,USD,22990.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7875814.webp,2018.0,37200.0,gasolina,automatica,Lima,Otro,4.0,cuero,1595.0,6.0
FORD,RAPTOR,4x4,USD,59900.0,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_8257190.webp,2018.0,41000.0,gasolina,automatica_secuencial,Lima,blanco,6.0,cuero,3500.0,6.0
SUBARU,XV,4x4,USD,15500.0,https://cde.neoauto.pe/autos_usados/360x240/155466/155466_5806603.webp,2017.0,83700.0,gasolina,automatica,Lima,azul,,tela,2600.0,7.0
VOLVO,XC-40,4x2,USD,38990.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_7059211.webp,2022.0,62125.0,otros,automatica,Lima,azul,3.0,tela,1477.0,2.0
FORD,MUSTANG,posterior,USD,8000.0,https://cde.neoauto.pe/autos_usados/360x240/208640/208640_3682346.webp,1981.0,48200.0,gasolina,automatica,Lima,marron,6.0,tela,3700.0,43.0
MERCEDES BENZ,CLA 45 AMG,otros,USD,78900.0,https://cde.neoauto.pe/autos_usados/360x240/662195/662195_4231257.webp,2023.0,5000.0,gasolina,automatica_secuencial,Lima,Otro,4.0,tela,2000.0,1.0
SUBARU,ALL NEW FORESTER,otros,USD,32500.0,https://cde.neoauto.pe/autos_usados/360x240/675261/675261_6362351.webp,2023.0,3850.0,gasolina,automatica_secuencial,Provincias,blanco,4.0,tela,2000.0,1.0
JAGUAR,F-PACE,4x4,USD,35990.0,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1198858.webp,2018.0,49000.0,gasolina,automatica,Lima,gris,4.0,tela,1997.0,6.0
SUBARU,XV,otros,USD,17300.0,https://cde.neoauto.pe/autos_usados/360x240/114176/114176_6721782.webp,2017.0,52121.0,gasolina,automatica,Lima,blanco,4.0,tela,2000.0,7.0
MITSUBISHI,L200,4x4,USD,14800.0,https://cde.neoauto.pe/autos_usados/360x240/742882/742882_4093045.webp,2014.0,160000.0,diesel,mecanica,Lima,gris,4.0,tela,2477.0,10.0
NISSAN,VERSA,4x2,USD,8700.0,https://cde.neoauto.pe/autos_usados/360x240/643129/643129_9627027.webp,2020.0,120000.0,gasolina,mecanica,Lima,Otro,4.0,tela,1600.0,4.0
KIA,SORENTO,4x2,USD,35000.0,https://cde.neoauto.pe/autos_usados/360x240/370026/370026_8843427.webp,2024.0,4500.0,gasolina,automatica,Lima,gris,,tela,2497.0,0.0
CHEVROLET,TRACKER,delantera,USD,17000.0,https://cde.neoauto.pe/autos_usados/360x240/552635/552635_3622474.webp,2021.0,34480.0,gasolina,automatica,Lima,negro,3.0,tela,1200.0,3.0
SUBARU,EVOLTIS,otros,USD,36900.0,https://cde.neoauto.pe/autos_usados/360x240/239435/239435_2740551.webp,2021.0,50000.0,gasolina,automatica,Lima,rojo,4.0,tela,2387.0,3.0
MG,5,delantera,USD,6800.0,https://cde.neoauto.pe/autos_usados/360x240/742794/742794_8768788.webp,2014.0,75967.0,gasolina,automatica,Lima,rojo,4.0,tela,1500.0,10.0
HYUNDAI,TUCSON,otros,USD,16500.0,https://cde.neoauto.pe/autos_usados/360x240/742821/742821_3130547.webp,2017.0,72000.0,dual,mecanica,Lima,blanco,4.0,tela,2000.0,7.0
VOLKSWAGEN,JETTA,4x2,USD,13000.0,https://cde.neoauto.pe/autos_usados/360x240/473225/473225_4262269.webp,2017.0,30700.0,gasolina,automatica,Lima,negro,4.0,cuero,1400.0,7.0
SSANGYONG,NEW REXTON,4x2,USD,22000.0,https://cde.neoauto.pe/autos_usados/360x240/189562/189562_3991516.webp,2020.0,93900.0,gasolina,automatica,Lima,azul,,cuero,20.0,4.0
NISSAN,X-TRAIL,4x2,USD,15900.0,https://cde.neoauto.pe/autos_usados/360x240/117841/117841_8698322.webp,2017.0,57000.0,gasolina,automatica,Lima,blanco,4.0,tela,2500.0,7.0
CHERY,TIGGO 8 PRO,4x2,USD,23900.0,https://cde.neoauto.pe/autos_usados/360x240/701904/701904_8423518.webp,2023.0,31400.0,gasolina,automatica,Lima,gris,4.0,tela,1600.0,1.0
VOLKSWAGEN,TIGUAN ALLSPACE,otros,USD,26900.0,https://cde.neoauto.pe/autos_usados/360x240/114188/114188_4457037.webp,2020.0,47000.0,gasolina,automatica_secuencial,Lima,gris,4.0,cuero,2000.0,4.0
BMW,X-3,4x2,USD,39000.0,https://cde.neoauto.pe/autos_usados/360x240/619774/619774_6719033.webp,2021.0,,gasolina,automatica_secuencial,Lima,negro,,tela,2000.0,3.0
MAZDA,2,delantera,USD,12500.0,https://cde.neoauto.pe/autos_usados/360x240/208640/208640_4525175.webp,2016.0,70000.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,1500.0,8.0
MINI,HATCH JCW,4x2,USD,23900.0,https://cde.neoauto.pe/autos_usados/360x240/709781/709781_8264718.webp,2020.0,8900.0,gasolina,automatica,Lima,Otro,4.0,tela,1498.0,4.0
BMW,X3 20i,posterior,USD,49900.0,https://cde.neoauto.pe/autos_usados/360x240/463366/463366_5016252.webp,2022.0,24000.0,gasolina,automatica_secuencial,Lima,negro,4.0,cuero,2000.0,2.0
MINI,CONVERTIBLE,delantera,USD,42991.0,https://cde.neoauto.pe/autos_usados/360x240/208604/208604_6819094.webp,2024.0,5031.0,gasolina,automatica,Lima,blanco,4.0,tela,1998.0,0.0
HYUNDAI,SANTA FE,4x2,USD,31500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2313809.webp,2023.0,26100.0,gasolina,automatica_secuencial,Lima,negro,4.0,tela,2400.0,1.0
MERCEDES BENZ,C-200,4x2,USD,22900.0,https://cde.neoauto.pe/autos_usados/360x240/237418/237418_9743986.webp,2018.0,55179.0,gasolina,automatica,Lima,plata,4.0,tela,2000.0,6.0
CHERY,TIGGO 8,4x2,USD,21500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_1627148.webp,2023.0,3459.0,gasolina,automatica,Lima,gris,4.0,tela,1500.0,1.0
FORD,F-150,4x4,USD,30000.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_2517096.webp,2019.0,61610.0,gasolina,automatica,Lima,azul,8.0,cuero,5000.0,5.0
KIA,SPORTAGE,4x2,USD,19100.0,https://cde.neoauto.pe/autos_usados/360x240/619774/619774_4742657.webp,2020.0,67728.0,gasolina,automatica_secuencial,Lima,gris,4.0,tela,2000.0,4.0
KIA,SORENTO,otros,USD,19000.0,https://cde.neoauto.pe/autos_usados/360x240/741209/741209_4133245.webp,2015.0,150000.0,gasolina,automatica_secuencial,Provincias,gris,6.0,tela,3470.0,9.0
VOLKSWAGEN,TIGUAN ALLSPACE,otros,USD,22500.0,https://cde.neoauto.pe/autos_usados/360x240/358152/358152_5531516.webp,2018.0,43228.0,gasolina,automatica,Lima,Otro,4.0,tela,1400.0,6.0
SEAT,LEON STYLE 1.6 MEC,4x2,USD,9500.0,https://cde.neoauto.pe/autos_usados/360x240/735044/735044_8128587.webp,2012.0,66537.0,gasolina,mecanica,Lima,plata,4.0,tela,,12.0
MITSUBISHI,OUTLANDER,4x2,USD,17500.0,https://cde.neoauto.pe/autos_usados/360x240/742465/742465_6631513.webp,2017.0,34000.0,gasolina,automatica,Lima,blanco,4.0,tela,2000.0,7.0
