Age,Brands,Cilinder,Color,Currency,Engine,Fuel_type,KM,Location,Models,Price,Transmission,Upholstery,Urlpic,Version,Year
3.0,TOYOTA,,otros,USD,1500.0,gasolina,51000.0,Lima,RUSH,17500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5576929.webp,4x2,2021.0
2.0,TOYOTA,4.0,plata,USD,1500.0,gasolina,62440.0,Lima,RUSH,17800.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_6421880.webp,4x2,2022.0
1.0,HYUNDAI,,blanco,USD,,gas_glp,38383.0,Lima,CRETA,18100.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7883548.webp,otros,2023.0
1.0,KIA,,otros,USD,,gasolina,7720.0,Lima,SELTOS,19500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_7548817.webp,otros,2023.0
1.0,GEELY,,rojo,USD,,gas_glp,18000.0,Lima,GX3,11800.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/337014/337014_4061765.webp,otros,2023.0
2.0,AUDI,4.0,rojo,USD,1400.0,gasolina,13700.0,Lima,A3 SPORTBACK,28900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/742951/742951_7885414.webp,delantera,2022.0
6.0,TOYOTA,4.0,gris,USD,1800.0,otros,86649.0,Lima,PRIUS,15800.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_3565959.webp,4x2,2018.0
1.0,NISSAN,4.0,gris,USD,2000.0,gasolina,25607.0,Lima,SENTRA,17000.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_5738600.webp,4x2,2023.0
5.0,TOYOTA,4.0,blanco,USD,2755.0,diesel,62000.0,Provincias,FORTUNER,42000.0,mecanica,cuero,https://cde.neoauto.pe/autos_usados/360x240/742917/742917_2751331.webp,4x4,2019.0
0.0,MAZDA,4.0,marron,USD,1500.0,gasolina,633.0,Lima,2,18200.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/650434/650434_1887505.webp,4x2,2024.0
3.0,FORD,,otros,USD,2200.0,diesel,131791.0,Lima,RANGER,21300.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/242077/242077_3158638.webp,4x4,2021.0
0.0,MINI,,negro,USD,,electrico,1786.0,Lima,HATCH 3DR,33991.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/208604/208604_4087470.webp,otros,2024.0
18.0,JEEP,8.0,azul,USD,5700.0,gasolina,140000.0,Lima,GRAND CHEROKEE LIMITED,13000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/715295/715295_1114951.webp,4x4,2006.0
6.0,LEXUS,4.0,plata,USD,2000.0,gasolina,31000.0,Lima,IS 300,22700.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/648078/648078_5953511.webp,posterior,2018.0
59.0,FORD,8.0,otros,USD,4700.0,gasolina,54000.0,Lima,MUSTANG,19500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/742866/742866_3439844.webp,posterior,1965.0
10.0,HYUNDAI,,blanco,USD,2400.0,gasolina,97000.0,Lima,SANTA FE,17500.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/742915/742915_7655377.webp,4x2,2014.0
3.0,VOLKSWAGEN,3.0,gris,USD,1000.0,gasolina,53000.0,Lima,NIVUS,17200.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/662916/662916_5594562.webp,4x2,2021.0
6.0,MERCEDES BENZ,6.0,plata,USD,3000.0,gasolina,49000.0,Lima,GLE 400 4MATIC,38000.0,automatica_secuencial,cuero,https://cde.neoauto.pe/autos_usados/360x240/332517/332517_6487100.webp,otros,2018.0
12.0,MERCEDES BENZ,6.0,plata,USD,3500.0,gasolina,119100.0,Lima,C-350,13800.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/723718/723718_1499902.webp,posterior,2012.0
13.0,SUBARU,,blanco,USD,2000.0,gasolina,86500.0,Lima,FORESTER,12500.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/191263/191263_5010088.webp,otros,2011.0
7.0,TOYOTA,4.0,rojo,USD,2800.0,diesel,90000.0,Lima,HILUX,33000.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/406692/406692_9432200.webp,4x4,2017.0
7.0,KIA,4.0,gris,USD,1400.0,gas_glp,96000.0,Provincias,RIO,10200.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/706675/706675_2490868.webp,otros,2017.0
3.0,TOYOTA,3.0,gris,USD,4000.0,gasolina,45000.0,Lima,4RUNNER,51000.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/742886/742886_4092682.webp,4x4,2021.0
10.0,DODGE,4.0,azul,USD,2400.0,gas_glp,105000.0,Lima,JOURNEY,12900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_9178621.webp,delantera,2014.0
11.0,AUDI,4.0,gris,USD,1800.0,gasolina,112000.0,Lima,A4,12900.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/187065/187065_5404632.webp,delantera,2013.0
8.0,KIA,4.0,otros,USD,,gasolina,68000.0,Lima,SORENTO,16000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/676108/676108_6870302.webp,4x2,2016.0
2.0,VOLKSWAGEN,4.0,plata,USD,1598.0,gasolina,26000.0,Lima,SAVEIRO,11900.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/232493/232493_6767577.webp,delantera,2022.0
7.0,KIA,4.0,gris,USD,2000.0,gasolina,85584.0,Lima,SPORTAGE,17900.0,automatica_secuencial,tela,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7677544.webp,4x2,2017.0
3.0,KIA,4.0,blanco,USD,1497.0,gasolina,20000.0,Lima,SONET,15990.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/741676/741676_1698621.webp,4x2,2021.0
1.0,JETOUR,4.0,negro,USD,1500.0,gasolina,9017.0,Lima,X70 PLUS,19900.0,mecanica,tela,https://cde.neoauto.pe/autos_usados/360x240/663165/663165_7729361.webp,4x2,2023.0
11.0,BMW,4.0,negro,USD,,gasolina,60000.0,Lima,X3 28i,17500.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/255748/255748_8458425.webp,4x4,2013.0
4.0,LAND ROVER,6.0,rojo,USD,2995.0,otros,30327.0,Lima,RANGE ROVER SPORT,76000.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_9311452.webp,4x4,2020.0
6.0,BMW,4.0,plata,USD,1997.0,gasolina,67400.0,Lima,X4 20i,34490.0,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_5745504.webp,4x4,2018.0
1.0,VOLVO,4.0,azul,USD,1969.0,otros,49770.0,Lima,XC-40,,automatica,tela,https://cde.neoauto.pe/autos_usados/360x240/518808/518808_1406167.webp,4x4,2023.0
