Brand,Model,Version,Currency,Price,urlpic,Year,KM,Gastype,Transmision,Location
Hyundai,Sonata,"Gls L4,2.0i,16v A 2 1",USD,"u$s2,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/hyundai/sonata/pe/RT_PU_1d315af04a0243d2bdf05709a730c833.webp,2003,300000 km,gasolina,manual 6 velocidades,Callao |Callao
Chevrolet,Prisma,1.4L LTZ,USD,"u$s7,000",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/chevrolet/prisma/pe/RT_PU_fea6b1bd4a07461f80d5f9e0a3124766.webp,2019,172000 km,gasolina,manual 6 velocidades,Lima |Lima
Jeep,Grand Cherokee,3.6L Limited Full 4x4,USD,"u$s12,300",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_8ad659b9e6bb44ff9a7c742af93084da.webp,2012,97000 km,gasolina,manual 6 velocidades,Lima |Lima
Nissan,Sentra,2.0L,USD,"u$s2,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/sentra/pe/RT_PU_6d6f2849dcc14382ba779d0dbc66871c.webp,1991,190000 km,gasolina,manual 6 velocidades,Lima |Lima
Volkswagen,Gol,1.6L Highline,USD,"u$s13,200",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/gol/pe/RT_PU_e68eaff964c44881a754292a8c0d73d1.webp,2022,14500 km,gasolina,manual 6 velocidades,Arequipa |Arequipa
Nissan,Kicks,Advance Cuero,USD,"u$s8,700",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/nissan/kicks/pe/RT_PU_5fa988a8b8aa41e4ac84d1679e2aa665.webp,2008,70000 km,gasolina,manual 6 velocidades,Lima |Lima
BMW,Serie 3,318i Automatico,USD,"u$s12,800",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/bmw/serie-3/pe/RT_PU_2878e0d293634c35bc989f2faf5f96ba.webp,2015,87000 km,gasolina,manual 6 velocidades,Lima |Lima
Jeep,Grand Cherokee,"Limited (Vw1) V8,4.7i,16v A 1 2",USD,"u$s9,900",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/grand-cherokee/pe/RT_PU_897e8d62a606485da0b9aa3c24ea7c32.webp,2009,145000 km,gasolina,manual 6 velocidades,Lima |Lima
Volkswagen,Crossfox,1.6L Highline,USD,"u$s8,400",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/crossfox/pe/RT_PU_4c3074beb31340cd91fa0557f93a6b2c.webp,2015,125000 km,gasolina,manual 6 velocidades,Lima |Lima
Volkswagen,Golf,1.6L Comfortline,USD,"u$s1,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/volkswagen/golf/pe/RT_PU_bdde10e8a3f6499faca2715723a0e2f0.webp,1998,184000 km,gasolina,manual 6 velocidades,Trujillo |La Libertad
Jeep,Patriot,2.4L Limited,USD,"u$s7,500",https://acroadtrip.blob.core.windows.net/publicaciones-imagenes/Large/jeep/patriot/pe/RT_PU_c7c04e729fdd4d3583ebff0eca7ac410.webp,2008,113188 km,gasolina,manual 6 velocidades,Lima |Lima
